9606.ENSP00000019103 9606.ENSP00000275216 2
9606.ENSP00000215832 9606.ENSP00000267396 2
9606.ENSP00000219548 9606.ENSP00000318944 2
9606.ENSP00000216190 9606.ENSP00000248342 5
9606.ENSP00000232461 9606.ENSP00000263125 0
9606.ENSP00000246957 9606.ENSP00000263923 1
9606.ENSP00000270162 9606.ENSP00000256458 0
9606.ENSP00000052754 9606.ENSP00000261531 2
9606.ENSP00000245479 9606.ENSP00000277541 1
9606.ENSP00000222247 9606.ENSP00000263239 2
9606.ENSP00000231454 9606.ENSP00000302564 1
9606.ENSP00000236850 9606.ENSP00000262735 1
9606.ENSP00000262426 9606.ENSP00000202967 1
9606.ENSP00000212015 9606.ENSP00000267163 1
9606.ENSP00000268182 9606.ENSP00000262187 4
9606.ENSP00000202677 9606.ENSP00000299759 4
9606.ENSP00000209728 9606.ENSP00000262144 4
9606.ENSP00000270202 9606.ENSP00000305556 0
9606.ENSP00000229328 9606.ENSP00000234040 0
9606.ENSP00000176195 9606.ENSP00000275216 2
9606.ENSP00000266497 9606.ENSP00000240100 4
9606.ENSP00000215832 9606.ENSP00000285735 4
9606.ENSP00000270162 9606.ENSP00000264748 0
9606.ENSP00000243349 9606.ENSP00000260950 1
9606.ENSP00000211998 9606.ENSP00000309845 5
9606.ENSP00000262726 9606.ENSP00000279387 4
9606.ENSP00000282026 9606.ENSP00000215659 4
9606.ENSP00000215587 9606.ENSP00000318861 3
9606.ENSP00000222812 9606.ENSP00000267199 2
9606.ENSP00000209728 9606.ENSP00000260947 2
9606.ENSP00000252453 9606.ENSP00000309757 1
9606.ENSP00000217185 9606.ENSP00000267205 2
9606.ENSP00000269305 9606.ENSP00000308107 6
9606.ENSP00000200135 9606.ENSP00000261716 3
9606.ENSP00000078429 9606.ENSP00000255380 2
9606.ENSP00000216225 9606.ENSP00000233055 0
9606.ENSP00000005340 9606.ENSP00000217188 5
9606.ENSP00000257863 9606.ENSP00000252677 1
9606.ENSP00000282572 9606.ENSP00000314837 4
9606.ENSP00000156109 9606.ENSP00000263694 5
9606.ENSP00000267015 9606.ENSP00000311538 4
9606.ENSP00000269305 9606.ENSP00000302501 6
9606.ENSP00000216024 9606.ENSP00000264159 3
9606.ENSP00000258646 9606.ENSP00000261396 1
9606.ENSP00000216190 9606.ENSP00000293831 3
9606.ENSP00000081029 9606.ENSP00000317376 2
9606.ENSP00000201979 9606.ENSP00000229794 1
9606.ENSP00000240139 9606.ENSP00000254079 4
9606.ENSP00000204961 9606.ENSP00000264748 1
9606.ENSP00000217270 9606.ENSP00000303452 2
9606.ENSP00000257290 9606.ENSP00000222390 1
9606.ENSP00000228872 9606.ENSP00000257904 0
9606.ENSP00000303830 9606.ENSP00000012443 0
9606.ENSP00000270112 9606.ENSP00000298159 0
9606.ENSP00000178640 9606.ENSP00000216274 1
9606.ENSP00000216181 9606.ENSP00000293373 5
9606.ENSP00000175756 9606.ENSP00000220003 2
9606.ENSP00000262891 9606.ENSP00000312741 0
9606.ENSP00000305976 9606.ENSP00000262300 0
9606.ENSP00000262238 9606.ENSP00000282478 6
9606.ENSP00000284287 9606.ENSP00000312262 4
9606.ENSP00000202677 9606.ENSP00000256953 4
9606.ENSP00000225275 9606.ENSP00000270202 0
9606.ENSP00000221138 9606.ENSP00000281821 2
9606.ENSP00000229328 9606.ENSP00000257290 0
9606.ENSP00000071281 9606.ENSP00000300134 0
9606.ENSP00000251074 9606.ENSP00000219172 1
9606.ENSP00000215659 9606.ENSP00000300093 3
9606.ENSP00000216367 9606.ENSP00000274764 3
9606.ENSP00000261211 9606.ENSP00000296525 4
9606.ENSP00000241453 9606.ENSP00000299759 1
9606.ENSP00000246792 9606.ENSP00000282908 0
9606.ENSP00000256953 9606.ENSP00000248975 4
9606.ENSP00000178640 9606.ENSP00000319096 3
9606.ENSP00000217073 9606.ENSP00000253099 5
9606.ENSP00000215659 9606.ENSP00000288943 4
9606.ENSP00000232461 9606.ENSP00000264424 1
9606.ENSP00000297596 9606.ENSP00000264399 0
9606.ENSP00000264657 9606.ENSP00000220764 6
9606.ENSP00000215832 9606.ENSP00000287641 0
9606.ENSP00000256078 9606.ENSP00000289153 1
9606.ENSP00000005340 9606.ENSP00000256458 5
9606.ENSP00000257408 9606.ENSP00000299293 4
9606.ENSP00000215793 9606.ENSP00000221494 2
9606.ENSP00000261991 9606.ENSP00000005257 0
9606.ENSP00000216225 9606.ENSP00000209884 2
9606.ENSP00000169551 9606.ENSP00000216027 2
9606.ENSP00000229332 9606.ENSP00000245414 6
9606.ENSP00000259808 9606.ENSP00000229328 0
9606.ENSP00000239223 9606.ENSP00000215659 0
9606.ENSP00000217958 9606.ENSP00000221452 2
9606.ENSP00000166244 9606.ENSP00000316729 5
9606.ENSP00000216127 9606.ENSP00000264399 1
9606.ENSP00000248073 9606.ENSP00000312262 0
9606.ENSP00000261937 9606.ENSP00000220507 1
9606.ENSP00000262158 9606.ENSP00000308716 1
9606.ENSP00000229794 9606.ENSP00000258743 6
9606.ENSP00000216225 9606.ENSP00000284669 2
9606.ENSP00000287878 9606.ENSP00000264867 0
9606.ENSP00000178640 9606.ENSP00000261845 5
9606.ENSP00000216639 9606.ENSP00000265094 3
9606.ENSP00000261937 9606.ENSP00000262891 0
9606.ENSP00000238738 9606.ENSP00000262493 1
9606.ENSP00000261254 9606.ENSP00000264657 1
9606.ENSP00000253055 9606.ENSP00000305976 0
9606.ENSP00000262646 9606.ENSP00000311005 4
9606.ENSP00000219476 9606.ENSP00000308576 4
9606.ENSP00000308549 9606.ENSP00000269260 0
9606.ENSP00000217893 9606.ENSP00000225396 2
9606.ENSP00000016171 9606.ENSP00000317780 3
9606.ENSP00000078429 9606.ENSP00000216629 5
9606.ENSP00000204961 9606.ENSP00000220751 2
9606.ENSP00000216277 9606.ENSP00000236273 3
9606.ENSP00000243578 9606.ENSP00000311429 1
9606.ENSP00000215587 9606.ENSP00000267023 2
9606.ENSP00000247970 9606.ENSP00000288602 1
9606.ENSP00000279387 9606.ENSP00000230771 0
9606.ENSP00000250559 9606.ENSP00000315659 1
9606.ENSP00000157812 9606.ENSP00000261601 3
9606.ENSP00000251337 9606.ENSP00000272233 1
9606.ENSP00000003084 9606.ENSP00000254963 5
9606.ENSP00000054666 9606.ENSP00000264634 2
9606.ENSP00000044462 9606.ENSP00000297261 2
9606.ENSP00000263464 9606.ENSP00000265560 4
9606.ENSP00000287641 9606.ENSP00000215832 0
9606.ENSP00000288986 9606.ENSP00000265171 0
9606.ENSP00000311113 9606.ENSP00000259808 0
9606.ENSP00000261890 9606.ENSP00000288602 4
9606.ENSP00000216122 9606.ENSP00000265431 3
9606.ENSP00000211287 9606.ENSP00000305769 0
9606.ENSP00000215832 9606.ENSP00000253339 2
9606.ENSP00000240055 9606.ENSP00000310472 1
9606.ENSP00000261881 9606.ENSP00000309503 1
9606.ENSP00000270202 9606.ENSP00000219476 0
9606.ENSP00000215587 9606.ENSP00000055077 2
9606.ENSP00000261769 9606.ENSP00000265165 4
9606.ENSP00000217026 9606.ENSP00000268206 3
9606.ENSP00000201979 9606.ENSP00000302486 3
9606.ENSP00000282908 9606.ENSP00000301068 4
9606.ENSP00000298630 9606.ENSP00000221138 0
9606.ENSP00000228682 9606.ENSP00000264399 4
9606.ENSP00000216044 9606.ENSP00000219596 5
9606.ENSP00000244741 9606.ENSP00000310301 1
9606.ENSP00000215659 9606.ENSP00000272233 2
9606.ENSP00000078527 9606.ENSP00000261534 3
9606.ENSP00000162749 9606.ENSP00000233813 3
9606.ENSP00000229812 9606.ENSP00000226004 1
9606.ENSP00000258743 9606.ENSP00000303522 6
9606.ENSP00000312664 9606.ENSP00000263464 0
9606.ENSP00000240139 9606.ENSP00000241453 0
9606.ENSP00000229264 9606.ENSP00000268864 1
9606.ENSP00000262518 9606.ENSP00000262709 1
9606.ENSP00000205143 9606.ENSP00000249749 3
9606.ENSP00000262211 9606.ENSP00000216101 0
9606.ENSP00000261254 9606.ENSP00000243346 1
9606.ENSP00000219172 9606.ENSP00000271452 2
9606.ENSP00000005257 9606.ENSP00000248901 5
9606.ENSP00000052754 9606.ENSP00000268206 5
9606.ENSP00000226004 9606.ENSP00000215659 0
9606.ENSP00000262626 9606.ENSP00000217159 1
9606.ENSP00000204961 9606.ENSP00000256458 2
9606.ENSP00000216127 9606.ENSP00000238081 3
9606.ENSP00000263125 9606.ENSP00000289153 4
9606.ENSP00000238738 9606.ENSP00000251849 4
9606.ENSP00000241453 9606.ENSP00000305976 1
9606.ENSP00000216101 9606.ENSP00000262719 1
9606.ENSP00000200181 9606.ENSP00000267984 3
9606.ENSP00000268864 9606.ENSP00000261991 0
9606.ENSP00000250971 9606.ENSP00000215832 0
9606.ENSP00000215832 9606.ENSP00000269033 0
